"group","subject","blockcode","trialcode","trialnum","values.stimulus","response","correct","latency"
"5","5","encoding","encoding","1","Pipe.jpg","1","0","2512"
"5","5","encoding","encoding","2","Scorpion.jpg","7","0","2143"
"5","5","encoding","encoding","3","Switch_Power.jpg","0","0","3000"
"5","5","encoding","encoding","4","Statue_Buddha.jpg","3","0","1838"
"5","5","encoding","encoding","5","Hammer.jpg","1","0","1694"
"5","5","encoding","encoding","6","RickShaw.jpg","4","0","1949"
"5","5","encoding","encoding","7","Rake_Long.jpg","1","0","1461"
"5","5","encoding","encoding","8","Bread_Pita.jpg","4","0","2493"
"5","5","encoding","encoding","9","Knife_Butter.jpg","3","0","1637"
"5","5","encoding","encoding","10","Jar_Money.jpg","7","0","1909"
"5","5","encoding","encoding","11","Ladle.jpg","4","0","1502"
"5","5","encoding","encoding","12","Basket_Straw.jpg","2","0","1693"
"5","5","encoding","encoding","13","Radio_Vintage.jpg","2","0","2037"
"5","5","encoding","encoding","14","Cane_Metal.jpg","5","0","2132"
"5","5","encoding","encoding","15","Altar.jpg","4","0","2100"
"5","5","encoding","encoding","16","Vest.jpg","2","0","1556"
"5","5","encoding","encoding","17","Candleholder_Tall.jpg","1","0","1788"
"5","5","encoding","encoding","18","BicycleReflector.jpg","5","0","2436"
"5","5","encoding","encoding","19","Mirror_Makeup.jpg","2","0","1716"
"5","5","encoding","encoding","20","Corn.jpg","5","0","1812"
"5","5","encoding","encoding","21","Lips_Wax.jpg","6","0","2060"
"5","5","encoding","encoding","22","Bread_Loaf.jpg","4","0","1675"
"5","5","encoding","encoding","23","Tortilla.jpg","4","0","1890"
"5","5","encoding","encoding","24","Tape_Scotch.jpg","1","0","1962"
"5","5","encoding","encoding","25","Potato.jpg","3","0","1857"
"5","5","encoding","encoding","26","Tweezers.jpg","2","0","1416"
"5","5","encoding","encoding","27","WorldMap.jpg","1","0","1656"
"5","5","encoding","encoding","28","Cassette_Video.jpg","3","0","1887"
"5","5","encoding","encoding","29","ClothRed.jpg","2","0","1886"
