"group","subject","blockcode","trialcode","trialnum","values.stimulus","response","correct","latency"
"1","1","encoding","encoding","1","SafetyPin.jpg","0","0","2001"
"1","1","encoding","encoding","2","ToothPaste.jpg","0","0","2001"
"1","1","encoding","encoding","3","Jar_Cookie.jpg","0","0","2001"
"1","1","encoding","encoding","4","KeyHook_Empty.jpg","0","0","2001"
"1","1","encoding","encoding","5","Crutches.jpg","0","0","2001"
"1","1","encoding","encoding","6","Shoes_Pumps.jpg","Ctrl+'B'","0","0"
"1","1","retrieval","old_objects","1","Shoes_Pumps.jpg","0","0","2001"
"1","1","retrieval","old_objects","2","Toy_DonkeyPlastic.jpg","0","0","2001"
"1","1","retrieval","old_objects","3","Mop.jpg","0","0","2001"
"1","1","retrieval","old_objects","4","Bird_Falcon.jpg","Ctrl+'Q'","0","0"
"2","2","encoding","encoding","1","Cake_Wedding.jpg","0","0","2001"
"2","2","encoding","encoding","2","Bird_CanadianGoose.jpg","Ctrl+'B'","0","0"
"2","2","retrieval","old_objects","1","Man.jpg","0","0","2001"
"2","2","retrieval","old_objects","2","Lollipop_Grape.jpg","Ctrl+'B'","1","951"
"2","2","demographics_block","gender","1","Lollipop_Grape.jpg","","1","1965"
"2","2","demographics_block","age","1","Lollipop_Grape.jpg","","1","1965"
"2","2","demographics_block","education","1","Lollipop_Grape.jpg","","1","1965"
"3","3","encoding","encoding","1","Dice.jpg","0","0","2001"
"3","3","encoding","encoding","2","Lollipop_Grape.jpg","0","0","2001"
"3","3","encoding","encoding","3","Dog_ChowChow.jpg","36","0","1123"
"3","3","encoding","encoding","4","HoseNozzle.jpg","37","0","1907"
"3","3","encoding","encoding","5","Harmonica.jpg","0","0","2001"
"3","3","encoding","encoding","6","Lock_Combination.jpg","37","0","1231"
"3","3","encoding","encoding","7","SpiderWeb.jpg","0","0","2001"
"3","3","encoding","encoding","8","Fan_Ceiling.jpg","36","0","1561"
"3","3","encoding","encoding","9","PictureFrame.jpg","36","0","1508"
"3","3","encoding","encoding","10","Barbecue_Gas.jpg","36","0","762"
"3","3","encoding","encoding","11","Nutcracker.jpg","37","0","1699"
"3","3","encoding","encoding","12","Statue_Head.jpg","36","0","1311"
"3","3","encoding","encoding","13","Bagel.jpg","37","0","1584"
"3","3","encoding","encoding","14","PaintSprayer.jpg","37","0","1540"
"3","3","encoding","encoding","15","Star.jpg","36","0","1486"
"3","3","encoding","encoding","16","Film_Single.jpg","36","0","1724"
"3","3","encoding","encoding","17","WashRack.jpg","36","0","1107"
"3","3","encoding","encoding","18","Toy_Slinky.jpg","37","0","1332"
"3","3","encoding","encoding","19","Toy_DonkeyPlastic.jpg","36","0","1678"
"3","3","encoding","encoding","20","Sheep.jpg","36","0","995"
"3","3","encoding","encoding","21","DrainPlug.jpg","37","0","1120"
"3","3","encoding","encoding","22","Barrel_Upright.jpg","36","0","895"
"3","3","encoding","encoding","23","Ball_Bowling.jpg","36","0","1232"
