,stimulusitem2,lower_response,stimulus_presentations,batch,N,proportion_response,h_index,h_index_sum,hunspell,suggested,corrected_response,V1,Tia Kant,Stella Mo,RA_match,final
1,Abacus.jpg,abbratus,26,4,1,0.038461538,0.180786143,2.997952699,abbratus,apparatus,NA,132,abacus,,0,abacus
2,Abacus.jpg,aparacus,26,4,1,0.038461538,0.180786143,2.997952699,aparacus,"c(""apparatus"", ""rapacious"")",NA,309,,abacus,0,abacus
3,Accordion.jpg,accord,35,1,1,0.028571429,0.146550943,2.380384941,character(0),NA,accord,140,,accordion,0,
4,Acorn.jpg,acord,40,9,1,0.025,0.133048202,1.874634656,acord,"c(""cord"", ""accord"", ""acorn"", ""a cord"")",NA,153,,acorn,0,acorn
5,Acorn.jpg,acord,40,9,1,0.025,0.133048202,1.874634656,acord,"c(""cord"", ""accord"", ""acorn"", ""a cord"")",NA,154,,acorn,0,acorn
6,AirTank.jpg,co tank,34,1,1,0.029411765,0.14963126,4.263933429,character(0),NA,co tank,2396,co tank,CO tank,0,CO tank
7,AirTank.jpg,thrmos,34,1,1,0.029411765,0.14963126,4.263933429,thrmos,thermos,NA,10442,,thermos,0,thermos
8,Airplane_Commercial.jpg,aeroplane,27,6,1,0.037037037,0.176106945,2.009956616,aeroplane,"c(""planner"", ""planer"")",NA,172,airplane,aeroplane,0,airplane
9,Airplane_Fighter.jpg,aeroplane,26,6,1,0.038461538,0.180786143,2.777362795,aeroplane,"c(""planner"", ""planer"")",NA,172,airplane,aeroplane,0,airplane
10,AlarmSystem.jpg,therometer,30,8,1,0.033333333,0.16356302,3.640223929,therometer,"c(""thermometer"", ""thermometric"", ""hectometer"", ""hydrometer"", ""hygrometer"")",NA,10417,thermometer,thermostat,0,thermometer
11,AllTerrain.jpg,quad,27,4,1,0.037037037,0.176106945,3.420961116,character(0),NA,quad,8324,,quad,0,quad
12,AllTerrain.jpg,rv,27,4,1,0.037037037,0.176106945,3.420961116,rv,"c(""RV"", ""r"", ""v"", ""rev"", ""riv"", ""re"", ""rs"", ""iv"", ""av"", ""rt"", ""rd"", ""rm"", ""Av"")",NA,8741,rv,RV,0,RV
13,Altar.jpg,benches,27,6,1,0.037037037,0.176106945,3.111756836,character(0),NA,benches,810,bench,benches,0,bench
14,AmberWithMosquito.jpg,bug in amber,26,4,1,0.038461538,0.180786143,3.546593564,character(0),NA,bug in amber,1306,amber bug,bug in amber,0,amber bug
15,Amp.jpg,ac,40,9,1,0.025,0.133048202,2.881540811,character(0),NA,ac,137,,ac,0,AC
16,Amp.jpg,soundsystem,40,9,1,0.025,0.133048202,2.881540811,soundsystem,"c(""sound system"", ""sound-system"", ""soundbite"")",NA,9536,soundsystem,sound system,0,sound system
17,AmpMeter.jpg,avo meter,28,7,1,0.035714286,0.171691247,4.494680368,avo,"c(""ova"", ""av"", ""avow"", ""ave"", ""ado"", ""avg"", ""ago"", ""av o"")",NA,447,avo meter,avometer,0,avometer
18,AmpMeter.jpg,eletrode measurer,28,7,1,0.035714286,0.171691247,4.494680368,"c(""eletrode"", ""measurer"")",character(0),NA,3682,electrode measurer,electrode measureer,0,electrode measurer
19,AmpMeter.jpg,meat thermome,28,7,1,0.035714286,0.171691247,4.494680368,thermome,"c(""thermometer"", ""thermometric"", ""thermos"", ""therm"")",NA,6451,,meat thermometer,0,meat thermometer
20,AmpMeter.jpg,multi-meter,28,7,1,0.035714286,0.171691247,4.494680368,character(0),NA,multi-meter,6831,multimeter,multi-meter,0,multimeter
21,AmpMeter.jpg,thing for testing electricity,28,7,1,0.035714286,0.171691247,4.494680368,character(0),NA,thing for testing electricity,10428,thing for testing electricity,,0,
22,AmpMeter.jpg,voltometer,28,7,1,0.035714286,0.171691247,4.494680368,voltometer,"c(""voltmeter"", ""photometer"")",NA,11183,voltmeter,voltameter,0,voltmeter
23,AngleGrinder.jpg,dremel,36,9,2,0.055555556,0.2316625,3.668317879,dremel,remodel,NA,3383,,dremel,0,dremel
24,AngleGrinder.jpg,ear c,36,9,1,0.027777778,0.143609028,3.668317879,character(0),NA,ear c,3529,ear,,0,
25,AnsweringMachine.jpg,alarm pannle,27,4,1,0.037037037,0.176106945,3.327875465,pannle,panned,NA,237,alarm pannel,alarm panel,0,alarm panel
26,AnsweringMachine.jpg,temperature sca,27,4,1,0.037037037,0.176106945,3.327875465,sca,"c(""sac"", ""ca"", ""scan"", ""scar"", ""scat"", ""scad"", ""scag"", ""scam"", ""scab"", ""sea"", ""sci"", ""spa"", ""sch"", ""ska"", ""s ca"")",NA,10357,temperature scale,,0,temperature scale
27,Apple_Candy.jpg,candied apple,27,2,2,0.074074074,0.278139815,2.472832267,character(0),NA,candied apple,1532,candy apple,candied apple,0,candy apple
28,Arch.jpg,arc,27,2,1,0.037037037,0.176106945,3.064091782,character(0),NA,arc,326,arch,arc,0,arch
29,Arch.jpg,arc,27,2,2,0.074074074,0.278139815,3.064091782,character(0),NA,arc,325,arch,arc,0,arch
30,Arch.jpg,arch,27,2,8,0.296296296,0.519966667,3.064091782,character(0),NA,arch,328,arch,arc,0,arch
31,Arch.jpg,arch way,27,2,1,0.037037037,0.176106945,3.064091782,character(0),NA,arch way,329,arch way,archway,0,archway
32,Arch_Triomphe.jpg,bui,29,3,1,0.034482759,0.167516586,3.504149101,bui,"c(""boo"", ""bu"", ""bi"", ""bus"", ""bun"", ""bur"", ""but"", ""bud"", ""bug"", ""bum"", ""bub"", ""buy"", ""Sui"", ""Hui"")",NA,1315,building,,0,
